Date,Site,Plot,Treatment,biomass
31-Jan-17,J,1A,REM,14.8
13-Feb-17,J,1A,REM,8.2
27-Feb-17,J,1A,REM,5.9
29-Mar-17,J,1A,REM,8.4
18-Apr-17,J,1A,REM,1.2
25-Apr-17,J,1A,REM,1.6
9-May-17,J,1A,REM,0.5
31-Jan-17,J,1C,FIX,7.6
13-Feb-17,J,1C,FIX,6.7
27-Feb-17,J,1C,FIX,5
29-Mar-17,J,1C,FIX,1.1
18-Apr-17,J,1C,FIX,2.1
25-Apr-17,J,1C,FIX,0.5
9-May-17,J,1C,FIX,0.8
31-Jan-17,J,1E,NOF,9.2
13-Feb-17,J,1E,NOF,2.9
27-Feb-17,J,1E,NOF,4.6
29-Mar-17,J,1E,NOF,8.9
25-Apr-17,J,1E,NOF,0.1
18-Apr-17,J,1E,NOF,4.5
30-Jan-17,J,2B,NOF,9.2
13-Feb-17,J,2B,NOF,9.5
29-Mar-17,J,2B,NOF,36.6
18-Apr-17,J,2B,NOF,4.5
25-Apr-17,J,2B,NOF,4.1
23-May-17,J,2B,NOF,3.4
9-May-17,J,2B,NOF,0.6
30-Jan-17,J,2E,REM,56.2
13-Feb-17,J,2E,REM,17.2
29-Mar-17,J,2E,REM,19
18-Apr-17,J,2E,REM,3.3
25-Apr-17,J,2E,REM,5.5
23-May-17,J,2E,REM,0.3
9-May-17,J,2E,REM,5
30-Jan-17,J,2F,FIX,31.8
13-Feb-17,J,2F,FIX,15.4
29-Mar-17,J,2F,FIX,27
18-Apr-17,J,2F,FIX,6.5
25-Apr-17,J,2F,FIX,0.8
23-May-17,J,2F,FIX,1.1
9-May-17,J,2F,FIX,2
31-Jan-17,J,3D,FIX,68.4
13-Feb-17,J,3D,FIX,25
29-Mar-17,J,3D,FIX,9.1
18-Apr-17,J,3D,FIX,3.4
25-Apr-17,J,3D,FIX,2.9
9-May-17,J,3D,FIX,1
23-May-17,J,3D,FIX,1.8
31-Jan-17,J,3E,REM,27.3
13-Feb-17,J,3E,REM,3.8
29-Mar-17,J,3E,REM,33.3
18-Apr-17,J,3E,REM,3.3
25-Apr-17,J,3E,REM,6.2
9-May-17,J,3E,REM,2.5
31-Jan-17,J,3F,NOF,10.1
13-Feb-17,J,3F,NOF,1.9
29-Mar-17,J,3F,NOF,19.1
18-Apr-17,J,3F,NOF,0.9
25-Apr-17,J,3F,NOF,1.5
9-May-17,J,3F,NOF,0.4
30-Jan-17,J,4B,REM,50.2
13-Feb-17,J,4B,REM,9.5
29-Mar-17,J,4B,REM,16.8
18-Apr-17,J,4B,REM,1.8
25-Apr-17,J,4B,REM,3.1
23-May-17,J,4B,REM,0.5
9-May-17,J,4B,REM,0.4
31-Jan-17,J,4C,NOF,5
13-Feb-17,J,4C,NOF,2.1
29-Mar-17,J,4C,NOF,22
18-Apr-17,J,4C,NOF,2
25-Apr-17,J,4C,NOF,8.5
9-May-17,J,4C,NOF,0.7
23-May-17,J,4C,NOF,2
30-Jan-17,J,4E,FIX,42.9
13-Feb-17,J,4E,FIX,2.2
29-Mar-17,J,4E,FIX,66.2
18-Apr-17,J,4E,FIX,20
25-Apr-17,J,4E,FIX,4
23-May-17,J,4E,FIX,2.8
9-May-17,J,4E,FIX,5.4
13-Feb-17,J,5A,FIX,5.8
27-Feb-17,J,5A,FIX,3.9
29-Mar-17,J,5A,FIX,11.4
18-Apr-17,J,5A,FIX,7.5
25-Apr-17,J,5A,FIX,1.9
9-May-17,J,5A,FIX,4.6
30-Jan-17,J,5B,REM,47.7
13-Feb-17,J,5B,REM,13.6
27-Feb-17,J,5B,REM,3.3
29-Mar-17,J,5B,REM,27.5
18-Apr-17,J,5B,REM,14.3
25-Apr-17,J,5B,REM,1.6
9-May-17,J,5B,REM,5.4
23-May-17,J,5B,REM,2.9
31-Jan-17,J,5C,NOF,10.5
13-Feb-17,J,5C,NOF,3.2
27-Feb-17,J,5C,NOF,2.8
29-Mar-17,J,5C,NOF,14.8
18-Apr-17,J,5C,NOF,2.7
25-Apr-17,J,5C,NOF,1.4
9-May-17,J,5C,NOF,1.3
13-Feb-17,J,6C,REM,67.5
27-Feb-17,J,6C,REM,4.8
29-Mar-17,J,6C,REM,7.6
18-Apr-17,J,6C,REM,4.9
25-Apr-17,J,6C,REM,0.6
9-May-17,J,6C,REM,2.8
13-Feb-17,J,6D,FIX,85.9
27-Feb-17,J,6D,FIX,5.8
29-Mar-17,J,6D,FIX,20.5
18-Apr-17,J,6D,FIX,6.1
25-Apr-17,J,6D,FIX,0.3
9-May-17,J,6D,FIX,6.7
23-May-17,J,6D,FIX,1
13-Feb-17,J,6E,NOF,5.7
27-Feb-17,J,6E,NOF,0.6
29-Mar-17,J,6E,NOF,7.7
18-Apr-17,J,6E,NOF,1.9
25-Apr-17,J,6E,NOF,0.2
9-May-17,J,6E,NOF,0.7
