sample_id,seas,site,block,plot,year,month,date,species,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
J1A_LW,SP,J,J1,J1A,2017,6,6-Jun-17,Adfas,,,,,,1,,4,2,1,,,,,1,,,,1,1
J1A_LW,SP,J,J1,J1A,2018,5,16-May-18,Adfas,2,,3,3,3,4,3,2,3,4,1,1,,,,,4,1,3,7
J1A_MI,SP,J,J1,J1A,2017,6,6-Jun-17,Adfas,,,,,,,,,,,,,,,,,,,,
J1A_MI,SP,J,J1,J1A,2018,5,16-May-18,Adfas,,,,,,,,,,,,,,,1,,,2,2,2
J1A_UP,SP,J,J1,J1A,2017,6,6-Jun-17,Adfas,,1,,4,3,,,,,,1,,,,,1,,,,
J1A_UP,SP,J,J1,J1A,2018,5,16-May-18,Acgla,,,,,,,1,,,,,,,,,,,,,
J1A_UP,SP,J,J1,J1A,2018,5,16-May-18,Adfas,,,3,1,,3,,3,,,,,,2,4,1,1,3,7,5
J1A_UP,SP,J,J1,J1A,2018,5,16-May-18,Dapus,,,,,,1,,,,,,,,,,,,,,
J1A_UP,SP,J,J1,J1A,2018,5,16-May-18,Lofil,,,,,1,,,,,,,,,1,,,,,,
J1A_UP,SP,J,J1,J1A,2018,5,16-May-18,Acpar,,,,,,,,,1,,,,,,,,,,,
J1B_LW,SP,J,J1,J1B,2017,6,6-Jun-17,Acann,,1,1,1,,,1,,1,,4,,1,1,,,,,1,
J1B_LW,SP,J,J1,J1B,2017,6,6-Jun-17,Adfas,2,,2,4,,,,1,,,,,,,,3,4,2,,
J1B_LW,SP,J,J1,J1B,2017,6,6-Jun-17,Gacal,,,,,,,,1,,,,,,,,,,,1,
J1B_LW,SP,J,J1,J1B,2017,6,6-Jun-17,Femyu,2,,,,,,,,1,1,,1,,1,1,,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Acpar,1,1,4,1,4,6,5,5,3,2,3,,1,1,2,1,4,3,3,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Adfas,,,,1,2,1,1,2,2,4,,,,,,,,2,3,1
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Aicar,,,,1,1,,1,,,,,2,1,,,,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Avbar,,,,,,,,,,,1,,,1,,,1,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Brmad,,,,,,,,,,,,,,,,,,1,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Femyu,,,,,,,,,,,2,,,,,,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Gacal,,,,,,,,,,1,,,,,,,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Gaphl,,1,,,,1,,2,,,3,1,4,6,3,3,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Lofil,,,1,,,,,,,,,,,,,,,,,
J1B_LW,SP,J,J1,J1B,2018,5,16-May-18,Logal,,2,,,,,,,1,2,,1,1,,1,,2,,,
J1B_MI,SP,J,J1,J1B,2017,6,6-Jun-17,Acann,,1,1,,2,7,,,,,,,,1,,,,,1,
J1B_MI,SP,J,J1,J1B,2017,6,6-Jun-17,Acgla,,,,,,,3,,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2017,6,6-Jun-17,Gacal,,,1,,,,,,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2017,6,6-Jun-17,Femyu,,,,,,,,,,,,,1,,1,,3,5,,9
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Acpar,1,,,,,,,,3,,2,1,,3,,1,1,,1,2
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Adfas,2,,1,,,,,,,,,,,1,,1,3,5,5,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Aicar,,,,1,,1,,1,,,2,1,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Avbar,,,,,,,1,,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Brmad,,,,,,,,,,,,,1,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Erbot,,,,,,1,,2,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Femyu,5,2,1,1,3,3,6,3,4,4,4,2,2,3,4,2,3,2,2,4
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Gaphl,,,1,1,,,,,,1,2,2,1,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Lasal,,,1,,,,,1,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Laser,,,,,,,,1,,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Lubic,,,,,,,,,1,,,,,,,,,,,
J1B_MI,SP,J,J1,J1B,2018,5,16-May-18,Trmic,,,1,,,,,,,,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Acann,,4,,1,,1,,1,,,7,6,7,1,6,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Brmad,1,,,,9,1,,,,,,,,1,3,,,,1,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Calas,1,,,,,,,,,,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Cemel,,,,,,1,,,,,,,2,1,,2,2,2,1,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Erbot,,2,,,,,,,,,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Gapar,,,,,,1,1,,,,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Gaphl,,,4,3,,,,,,,,,,,,,1,1,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Toarv,1,,,,,,,,,,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2017,6,6-Jun-17,Trhir,,,,,,,,,,,,1,,1,1,,,,1,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Acpar,5,,5,4,1,1,,,,,1,3,3,,3,2,5,3,2,2
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Adfas,4,3,2,,4,5,7,8,7,6,2,,1,2,2,4,5,5,1,2
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Aicar,,,3,1,,,1,,,,2,,,,3,4,,,3,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Avbar,,,,,,,,,,,,1,,,,,,,,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Brmad,4,3,5,,,1,,,,,,1,1,,,,1,1,,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Cemel,,1,,,2,,,,,,1,,,,,,,,,1
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Femyu,1,,2,2,3,,,,2,,,1,1,4,1,,,,,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Gapar,,,,,,,,,,,,2,,,,,,,,
