plot,trt,block,site,seas
J1A,REM,J1,J,SP
J1B,EXC,J1,J,SP
J1C,FIX,J1,J,SP
J1D,CON,J1,J,SP
J1E,NOF,J1,J,SP
J2A,HAL,J2,J,SP
J2B,NOF,J2,J,SP
J2C,CON,J2,J,SP
J2D,EXC,J2,J,SP
J2E,REM,J2,J,SP
J2F,FIX,J2,J,SP
J3A,HAL,J3,J,SP
J3B,EXC,J3,J,SP
J3C,CON,J3,J,SP
J3D,FIX,J3,J,SP
J3E,REM,J3,J,SP
J3F,NOF,J3,J,SP
J4A,CON,J4,J,SP
J4B,REM,J4,J,SP
J4C,NOF,J4,J,SP
J4D,EXC,J4,J,SP
J4E,FIX,J4,J,SP
J5A,FIX,J5,J,SP
J5B,REM,J5,J,SP
J5C,NOF,J5,J,SP
J5D,EXC,J5,J,SP
J5E,CON,J5,J,SP
J5F,HAL,J5,J,SP
J6A,EXC,J6,J,SP
J6B,CON,J6,J,SP
J6C,REM,J6,J,SP
J6D,FIX,J6,J,SP
J6E,NOF,J6,J,SP
K1A,CON,K1,K,FA
K1B,REM,K1,K,FA
K1C,NOF,K1,K,FA
K1D,EXC,K1,K,FA
K1E,FIX,K1,K,FA
K1F,HAL,K1,K,FA
K3A,CON,K3,K,FA
K3B,REM,K3,K,FA
K3C,NOF,K3,K,FA
K3D,EXC,K3,K,FA
K3E,FIX,K3,K,FA
K4A,EXC,K4,K,FA
K4B,REM,K4,K,FA
K4C,FIX,K4,K,FA
K4D,CON,K4,K,FA
K4E,NOF,K4,K,FA
K4F,HAL,K4,K,FA
K5A,FIX,K5,K,FA
K5B,REM,K5,K,FA
K5C,NOF,K5,K,FA
K5D,CON,K5,K,FA
K5E,EXC,K5,K,FA
K5F,HAL,K5,K,FA
L1E,EXC,L1,L,FA
L1F,CON,L1,L,FA
L2A,CON,L2,L,FA
L2B,HAL,L2,L,FA
L2C,FIX,L2,L,FA
L2D,REM,L2,L,FA
L2E,EXC,L2,L,FA
L2F,NOF,L2,L,FA
L3C,CON,L3,L,FA
L3D,EXC,L3,L,FA
L4A,EXC,L4,L,FA
L4B,FIX,L4,L,FA
L4C,NOF,L4,L,FA
L4D,CON,L4,L,FA
L4E,REM,L4,L,FA
L5A,EXC,L5,L,FA
L5B,CON,L5,L,FA
L5C,REM,L5,L,FA
L5D,FIX,L5,L,FA
L5E,NOF,L5,L,FA
L6A,HAL,L6,L,FA
L6B,REM,L6,L,FA
L6C,NOF,L6,L,FA
L6D,FIX,L6,L,FA
L6E,CON,L6,L,FA
L6F,EXC,L6,L,FA
T1A,REM,T1,T,SP
T1B,NOF,T1,T,SP
T1C,EXC,T1,T,SP
T1D,CON,T1,T,SP
T1E,FIX,T1,T,SP
T2A,EXC,T2,T,SP
T2B,FIX,T2,T,SP
T2C,CON,T2,T,SP
T2D,REM,T2,T,SP
T2E,NOF,T2,T,SP
T3A,REM,T3,T,SP
T3B,NOF,T3,T,SP
T3C,CON,T3,T,SP
T3D,FIX,T3,T,SP
T3E,EXC,T3,T,SP
T4A,HAL,T4,T,SP
T4B,NOF,T4,T,SP
T4C,FIX,T4,T,SP
T4D,REM,T4,T,SP
T4E,EXC,T4,T,SP
T4F,CON,T4,T,SP
T5A,FIX,T5,T,SP
T5B,REM,T5,T,SP
T5C,NOF,T5,T,SP
T5D,CON,T5,T,SP
T5E,EXC,T5,T,SP
T5F,HAL,T5,T,SP
T6B,CON,T6,T,SP
T6E,EXC,T6,T,SP
T6F,HAL,T6,T,SP
K1X,PRE,K1,K,FA
K2X,PRE,K2,K,FA
K3X,PRE,K3,K,FA
K4X,PRE,K4,K,FA
K5X,PRE,K5,K,FA
K6X,PRE,K6,K,FA
L1X,PRE,L1,L,FA
L2X,PRE,L2,L,FA
L3X,PRE,L3,L,FA
L4X,PRE,L4,L,FA
L5X,PRE,L5,L,FA
L6X,PRE,L6,L,FA
T1X,PRE,T1,T,SP
T2X,PRE,T2,T,SP
T3X,PRE,T3,T,SP
T4X,PRE,T4,T,SP
T5X,PRE,T5,T,SP
T6X,PRE,T6,T,SP
J1X,PRE,J1,J,SP
J2X,PRE,J2,J,SP
J3X,PRE,J3,J,SP
J4X,PRE,J4,J,SP
J5X,PRE,J5,J,SP
J6X,PRE,J6,J,SP
